nr;name;passhöhe;start_ort;start_kanton;ziel_ort;ziel_kanton;grenzübergang;länder;distanz_km;max_steigung;avg_steigung;restaurant;wintersperre;sperre_beginn;sperre_ende
1;Umbrailpass;2492;Santa Maria;Graubünden;Bormio;Lombardia;Ja;CH, I;31.48;13.2;8.5;Ja;Ja;11;4
2;Nufenenpass;2469;Ulrichen;Wallis;Airolo;Ticino;Nein;CH;37.06;16.8;6;Ja;Ja;11;6
3;Grosser St. Bernhardpass;2461;"Martigny
       ";Wallis;Aosta;Valle d’Aosta;Ja;CH, I;77.8;16.8;4.7;Ja;Ja;10;6
4;Furkapass;2416;Oberwald;Wallis;Andermatt;Uri;Nein;CH;37.68;12.2;6.3;Ja;Ja;11;6
5;Flüelapass;2379;Davos;Graubünden;Susch;Graubünden;Nein;CH;29.02;14;7.7;Ja;Ja;1;5
6;Passo del Bernina;2316;St. Moritz;Graubünden;Tirano;Lombardia;Ja;CH, I;54.25;14.4;6.5;Ja;Nein;;
7;Forcola di Livigno;2301;"Livigno
       ";Lombardia;La Motta;Graubünden;Ja;CH, I;18.14;9.7;3.4;Ja;Ja;11;6
8;Albulapass;2308;Filisur;Graubünden;La-Punt;Graubünden;Nein;CH;31.04;17;6.6;Ja;Ja;12;5
9;Julierpass;2277;Tiefencastel;Graubünden;Silvaplana;Graubünden;Nein;CH;43.2;14.6;5.5;Ja;Nein;;
10;Col du Sanetsch;2244;Conthey;Wallis;Sanetsch Stausee;Wallis;Nein;CH;31.62;15.9;7.3;Ja;Ja;10;6
11;Sustenpass;2227;Innertkirchen;Bern;Wassen;Uri;Nein;CH;45.65;17.6;6.1;Ja;Ja;11;6
12;Grimselpass;2156;Innertkirchen;Bern;Ulrichen;Wallis;Nein;CH;43.36;17.5;6.2;Ja;Ja;11;6
13;Ofenpass;2142;Zernez;Graubünden;Santa Maria;Graubünden;Nein;CH;35.33;11.8;5.8;Ja;Nein;;
14;Splügenpass;2108;Splügen;Graubünden;Chiavenna;Lombardia;Ja;CH, I;39.47;16.4;6.6;Ja;Ja;11;5
15;Gotthardpass;2103;Andermatt;Uri;Airolo;Ticino;Nein;CH;25.61;17.7;6.9;Ja;Ja;11;5
16;San Bernardinopass;2065;Hinterrhein;Graubünden;San Bernardino;Graubünden;Nein;CH;34.33;14.3;6.9;Ja;Ja;11;5
17;Oberalppass;2037;Andermatt;Uri;Sedrun;Graubünden;Nein;CH;22.98;12.4;5.8;Ja;Ja;12;4
18;Simplonpass;2005;Brig;Wallis;Domodossola;Piemont;Ja;CH, I;61.36;13.4;4.8;Ja;Nein;;
19;Klausenpass;1949;Altdorf;Uri;Linthal;Glarus;Nein;CH;46.95;12.2;6.1;Ja;Ja;11;5
20;Lukmanierpass;1927;Disentis/Mustér;Graubünden;Biasca;Ticino;Nein;CH;60.22;14.8;4.3;Ja;Nein;;
21;Malojapass;1813;Chiavenna;Lombardia;Silvaplana;Graubünden;Nein;CH;43.15;16.5;4.9;Ja;Nein;;
22;Col de la Croix;1771;Bex;Vaud;Les Diablerets;Vaud;Nein;CH;33.35;16.7;5.9;Ja;Ja;11;5
23;Col du Lein;1679;Saxon;Wallis;Sembrancher;Wallis;Nein;CH;27.02;17.5;8.6;Ja;Ja;11;5
24;Wolfgangpass;1628;Klosters;Graubünden;Davos;Graubünden;Nein;CH;14.92;13.2;5.6;Ja;Nein;;
25;Glaubenbüelenpass;1612;Sörenberg;Luzern;Giswil;Obwalden;Nein;CH;21.12;15.2;8.5;Ja;Ja;11;5
26;Gurnigelpass;1598;Riggisberg;Bern;Plaffeien;Fribourg;Nein;CH;34.06;12.9;6.6;Ja;Nein;;
27;Pragelpass;1557;Muaotathal;Schwyz;Glarus;Glarus;Nein;CH;33.73;15.8;6.8;Ja;Ja;11;6
